Model,Configuration,lumber,plywood: 2654,MDF,Veneer,nails,,staple,glue,fabric,thread,foam,foam glue: 2501,fiber padding (100g): 2509,fiber padding (200g): 2697,fiber ball: 2584,duck down,goose down,legs,base,Webbing:4874,packing,carpenter,seamstress,foam labor,Upholster labor,Packing labor,Labor Total,Manufacture total,Overhead,50% profit ,30% profit,Retail
AC-2055,Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Left One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Left One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Left One-Arm Chaise with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Right One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Right One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2055,Right One-Arm Chaise with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Armless Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Left Corner with Armless Loveseat Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Left Corner with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Left One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Left One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Left One-Arm Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Left One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Right Corner with Armless Loveseat Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Right Corner with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Right One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Right One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Right One-Arm Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Right One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2078,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
